term,frequency,total,idf
//ip,3,4074,7.213768308118642
bronz,1,4074,8.31238059678675
theme,11,4074,5.914485323988381
4.3.1,3,4074,7.213768308118642
penalti,3,4074,7.213768308118642
debian/ubuntu,5,4074,6.70294268435265
inclus,4,4074,6.926086235666861
smartcard,11,4074,5.914485323988381
dump,9,4074,6.115156019450532
lifetim,2,4074,7.619233416226805
diffnot,6,4074,6.520621127558696
punctuat,3,4074,7.213768308118642
pagin,41,4074,4.598808530082443
overlap,2,4074,7.619233416226805
licensee.compani,1,4074,8.31238059678675
manner,3,4074,7.213768308118642
present,18,4074,5.422008838890586
sastciconfigurationinput,6,4074,6.520621127558696
labeledg,6,4074,6.520621127558696
builds/,1,4074,8.31238059678675
issuablest,6,4074,6.520621127558696
fiddler,3,4074,7.213768308118642
getsockopt,6,4074,6.520621127558696
testcaseedg,6,4074,6.520621127558696
exampl,503,4074,2.091790426687012
autom,33,4074,4.815873035320271
mutation.dastsiteprofiledelet,6,4074,6.520621127558696
saniti,2,4074,7.619233416226805
includ,124,4074,3.492099031181714
logrot,11,4074,5.914485323988381
nanoserv,2,4074,7.619233416226805
runner,198,4074,3.024113566092216
lucen,3,4074,7.213768308118642
mergerequestreviewer.starredproject,6,4074,6.520621127558696
rout,67,4074,4.107687977395785
snippetblobactionenum,6,4074,6.520621127558696
offici,39,4074,4.6488189506571045
runners.cache.azur,2,4074,7.619233416226805
udp,2,4074,7.619233416226805
swap,8,4074,6.2329390551069155
algorithm,2,4074,7.619233416226805
scope,63,4074,4.169245870395218
properti,25,4074,5.093504771918551
requirementconnect,6,4074,6.520621127558696
three,12,4074,5.827473946998751
reader,4,4074,6.926086235666861
wait,5,4074,6.70294268435265
vulnerabilitylocationsecretdetect,6,4074,6.520621127558696
cascad,6,4074,6.520621127558696
pleas,49,4074,4.420560298676125
intermitt,9,4074,6.115156019450532
dockerhost,4,4074,6.926086235666861
repositori,339,4074,2.486380489406301
epicissueedg,6,4074,6.520621127558696
jirausersmappinginputtyp,6,4074,6.520621127558696
issuabl,9,4074,6.115156019450532
oncallrotationactiveperiodtyp,6,4074,6.520621127558696
usercoreedg,6,4074,6.520621127558696
match,25,4074,5.093504771918551
methodologi,3,4074,7.213768308118642
mutation.todocr,6,4074,6.520621127558696
designversionev,6,4074,6.520621127558696
introduct,51,4074,4.3805549640624255
gitlab.example.com,5,4074,6.70294268435265
unicorn,22,4074,5.221338143428436
harddriv,2,4074,7.619233416226805
command,208,4074,2.974842517085433
p99,3,4074,7.213768308118642
.net,8,4074,6.2329390551069155
node.j,1,4074,8.31238059678675
breaker,3,4074,7.213768308118642
magic,2,4074,7.619233416226805
respect,7,4074,6.366470447731438
nugetdependencylinkmetadata,4,4074,6.926086235666861
briefli,3,4074,7.213768308118642
smaller,3,4074,7.213768308118642
ubi,4,4074,6.926086235666861
mutation.epicaddissu,6,4074,6.520621127558696
sampl,30,4074,4.911183215124596
testsuit,6,4074,6.520621127558696
evid,6,4074,6.520621127558696
facet,3,4074,7.213768308118642
capac,4,4074,6.926086235666861
cijobartifactedg,6,4074,6.520621127558696
system,128,4074,3.460350332867134
style,96,4074,3.7480324053189147
apparmor,2,4074,7.619233416226805
noteabletyp,4,4074,6.926086235666861
aruba.it,2,4074,7.619233416226805
namespaceconnect,6,4074,6.520621127558696
result,30,4074,4.911183215124596
mutation.designmanagementupload,6,4074,6.520621127558696
campfir,3,4074,7.213768308118642
concurr,23,4074,5.176886380857601
charact,23,4074,5.176886380857601
healthi,3,4074,7.213768308118642
dorametrictyp,4,4074,6.926086235666861
verbos,15,4074,5.604330395684541
rspec.describ,6,4074,6.520621127558696
fortun,3,4074,7.213768308118642
sastuicomponents,6,4074,6.520621127558696
designvers,6,4074,6.520621127558696
issuetyp,6,4074,6.520621127558696
append,3,4074,7.213768308118642
securityreporttypeenum,6,4074,6.520621127558696
refus,6,4074,6.520621127558696
mutation.updatealertstatu,6,4074,6.520621127558696
plantuml,12,4074,5.827473946998751
vulnerabilityexternalissuelink,6,4074,6.520621127558696
escalationpolicytyp,4,4074,6.926086235666861
immedi,10,4074,6.009795503792706
containerrepositoryconnect,6,4074,6.520621127558696
overrid,115,4074,3.567448468423501
problem,92,4074,3.7905920197377108
mutation.mergerequestsetdraft,6,4074,6.520621127558696
payment,5,4074,6.70294268435265
discussionconnect,6,4074,6.520621127558696
query.mergerequest,6,4074,6.520621127558696
config,7,4074,6.366470447731438
checkconfig,2,4074,7.619233416226805
terraformstateversionregistryconnect,6,4074,6.520621127558696
finder,21,4074,5.267858159063328
mutat,19,4074,5.3679416176203105
batchedbackgroundmigrationwork,2,4074,7.619233416226805
query.collect,3,4074,7.213768308118642
kaminari,3,4074,7.213768308118642
administr,139,4074,3.3779066636560593
spot,4,4074,6.926086235666861
nrt,3,4074,7.213768308118642
shorthand,3,4074,7.213768308118642
app/assets/javascripts/pages/,3,4074,7.213768308118642
foremost,2,4074,7.619233416226805
threshold,3,4074,7.213768308118642
reveal,3,4074,7.213768308118642
redmin,6,4074,6.520621127558696
flawfind,6,4074,6.520621127558696
github.com,3,4074,7.213768308118642
mutation.boardepiccr,4,4074,6.926086235666861
cach,95,4074,3.7585037051862105
complianceframework,6,4074,6.520621127558696
prerequisit,123,4074,3.5001962414143337
groupmemb,6,4074,6.520621127558696
oncallparticipanttypeconnect,6,4074,6.520621127558696
approvalmergerequestrul,3,4074,7.213768308118642
conjunct,2,4074,7.619233416226805
contribut,103,4074,3.6776516085571154
scalabl,7,4074,6.366470447731438
progress,8,4074,6.2329390551069155
ubuntu,11,4074,5.914485323988381
mutation.prometheusintegrationresettoken,6,4074,6.520621127558696
detect,45,4074,4.505718107016431
epicissu,6,4074,6.520621127558696
wrapper,6,4074,6.520621127558696
recycl,3,4074,7.213768308118642
axi,6,4074,6.520621127558696
awardemojiedg,6,4074,6.520621127558696
timereportstat,6,4074,6.520621127558696
bearer,10,4074,6.009795503792706
mutation.securitypolicyprojectcr,4,4074,6.926086235666861
packagesmavenmetadatumid,6,4074,6.520621127558696
replac,20,4074,5.31664832323276
technic,30,4074,4.911183215124596
buster,2,4074,7.619233416226805
zypper,3,4074,7.213768308118642
root,22,4074,5.221338143428436
issu,355,4074,2.4402628073113353
ever,6,4074,6.520621127558696
query.ciminutesusag,4,4074,6.926086235666861
counts.group,1,4074,8.31238059678675
cabl,2,4074,7.619233416226805
even,7,4074,6.366470447731438
bucket,6,4074,6.520621127558696
behavior,26,4074,5.054284058765269
rich,3,4074,7.213768308118642
breakag,2,4074,7.619233416226805
counts.templ,1,4074,8.31238059678675
vulnerabilitiescountbydayconnect,6,4074,6.520621127558696
upstream,19,4074,5.3679416176203105
complianc,36,4074,4.728861658330641
trello,3,4074,7.213768308118642
epictreenodefieldsinputtyp,6,4074,6.520621127558696
homebrew,2,4074,7.619233416226805
live,32,4074,4.846644693987025
mutation.iterationcadencedestroi,6,4074,6.520621127558696
alertmanagementalert,6,4074,6.520621127558696
negatedissuefilterinput,6,4074,6.520621127558696
npm,19,4074,5.3679416176203105
attempt,25,4074,5.093504771918551
mutation.escalationpolicydestroi,4,4074,6.926086235666861
kuberneteslifecycleexecact,1,4074,8.31238059678675
byte,1,4074,8.31238059678675
12.0.0,3,4074,7.213768308118642
aria,3,4074,7.213768308118642
persistentvolumeclaim,2,4074,7.619233416226805
textil,2,4074,7.619233416226805
scss,9,4074,6.115156019450532
snapshot,18,4074,5.422008838890586
pajama,6,4074,6.520621127558696
now,31,4074,4.8783933923016045
topologi,1,4074,8.31238059678675
crowdin,4,4074,6.926086235666861
sh/bash,2,4074,7.619233416226805
webex,6,4074,6.520621127558696
board.list,6,4074,6.520621127558696
non,58,4074,4.251937586240332
suspect,6,4074,6.520621127558696
runtim,5,4074,6.70294268435265
packagespypimetadatumid,4,4074,6.926086235666861
properli,16,4074,5.53979187454697
basequerybuild,3,4074,7.213768308118642
deeper,3,4074,7.213768308118642
vulnerabilityedg,6,4074,6.520621127558696
unless,2,4074,7.619233416226805
projectedg,6,4074,6.520621127558696
taken,9,4074,6.115156019450532
openfaa,3,4074,7.213768308118642
auth0,3,4074,7.213768308118642
alertmanagementalert.todo,6,4074,6.520621127558696
packagetagedg,6,4074,6.520621127558696
global,109,4074,3.6210327145576073
activesupport,3,4074,7.213768308118642
whether,13,4074,5.7474312393252145
2.7.2,3,4074,7.213768308118642
epiclist,6,4074,6.520621127558696
context,47,4074,4.462232995076692
stewardship,3,4074,7.213768308118642
authendpoint,4,4074,6.926086235666861
designmanagementdesignid,6,4074,6.520621127558696
need,225,4074,2.896280194582331
list,468,4074,2.163912300869104
projectmemberconnect,6,4074,6.520621127558696
roll,24,4074,5.1343267664388055
iterationconnect,6,4074,6.520621127558696
80/443,3,4074,7.213768308118642
role,53,4074,4.342088683234629
discuss,31,4074,4.8783933923016045
empti,12,4074,5.827473946998751
epicwildcardid,6,4074,6.520621127558696
sastciconfigurationanalyzersent,6,4074,6.520621127558696
hat,2,4074,7.619233416226805
tricki,3,4074,7.213768308118642
jail,3,4074,7.213768308118642
har,12,4074,5.827473946998751
querycomplex,4,4074,6.926086235666861
mailroom,2,4074,7.619233416226805
interpol,3,4074,7.213768308118642
counts.fail,1,4074,8.31238059678675
sentinels..port,2,4074,7.619233416226805
ham,3,4074,7.213768308118642
schedul,69,4074,4.078274092189492
counts.protect,1,4074,8.31238059678675
appconfig,6,4074,6.520621127558696
.exist,3,4074,7.213768308118642
issuableid,6,4074,6.520621127558696
instanc,229,4074,2.8786585932325117
failsaf,3,4074,7.213768308118642
regist,38,4074,4.674794437060365
isol,26,4074,5.054284058765269
clusteragentedg,6,4074,6.520621127558696
hash.rb,3,4074,7.213768308118642
degrad,2,4074,7.619233416226805
youv,11,4074,5.914485323988381
ciconfigjobconnect,6,4074,6.520621127558696
query.period,3,4074,7.213768308118642
project.alertmanagementpayloadfield,6,4074,6.520621127558696
forgeri,6,4074,6.520621127558696
ask,45,4074,4.505718107016431
/var/run/docker.sock,2,4074,7.619233416226805
alertmanagementpayloadalertfieldnam,6,4074,6.520621127558696
packagemetadata,6,4074,6.520621127558696
group.timelog,6,4074,6.520621127558696
dedupl,6,4074,6.520621127558696
mutation.designmanagementmov,6,4074,6.520621127558696
txt,3,4074,7.213768308118642
minut,9,4074,6.115156019450532
spin,3,4074,7.213768308118642
youd,2,4074,7.619233416226805
isnt,3,4074,7.213768308118642
mutation.releaseassetlinkdelet,6,4074,6.520621127558696
query.runn,6,4074,6.520621127558696
deploymentti,4,4074,6.926086235666861
safari,6,4074,6.520621127558696
overal,1,4074,8.31238059678675
builder,2,4074,7.619233416226805
area,35,4074,4.757032535297338
project.vulnerabilityseveritiescount,6,4074,6.520621127558696
compromis,3,4074,7.213768308118642
incorrect,9,4074,6.115156019450532
overag,2,4074,7.619233416226805
django,6,4074,6.520621127558696
control,116,4074,3.5587904056803863
markdownlint,3,4074,7.213768308118642
arn,3,4074,7.213768308118642
select,98,4074,3.7274131181161794
arg,2,4074,7.619233416226805
raspberri,7,4074,6.366470447731438
imap,6,4074,6.520621127558696
aspect,6,4074,6.520621127558696
two,94,4074,3.7690858145167474
resolving/unresolv,3,4074,7.213768308118642
differenti,3,4074,7.213768308118642
mergerequestreviewer.timelog,4,4074,6.926086235666861
imag,185,4074,3.0920247717084264
categorystr,2,4074,7.619233416226805
introduc,1293,4074,1.1476602180148936
mutation.commitcr,6,4074,6.520621127558696
near,3,4074,7.213768308118642
collabor,15,4074,5.604330395684541
plugin,9,4074,6.115156019450532
broad,6,4074,6.520621127558696
blue,3,4074,7.213768308118642
cirunnertyp,6,4074,6.520621127558696
powershel,2,4074,7.619233416226805
mutation.jobretri,6,4074,6.520621127558696
snippetblobview,6,4074,6.520621127558696
person,44,4074,4.52819096286849
vscode,3,4074,7.213768308118642
mutation.createtestcas,6,4074,6.520621127558696
componentexpect,2,4074,7.619233416226805
beyond,10,4074,6.009795503792706
size,84,4074,3.8815637979434374
pasta,3,4074,7.213768308118642
sumlabel,3,4074,7.213768308118642
reset,44,4074,4.52819096286849
collector,6,4074,6.520621127558696
fiddl,3,4074,7.213768308118642
possibl,132,4074,3.42957867420038
mention,17,4074,5.4791672527305355
importer.log,3,4074,7.213768308118642
mutation.clusteragentdelet,6,4074,6.520621127558696
global.appconfig.incomingemail.address,2,4074,7.619233416226805
apt,7,4074,6.366470447731438
market,5,4074,6.70294268435265
scannedresourceedg,6,4074,6.520621127558696
repres,9,4074,6.115156019450532
critic,6,4074,6.520621127558696
app,57,4074,4.269329328952201
nix,3,4074,7.213768308118642
jiraservic,6,4074,6.520621127558696
flutter,3,4074,7.213768308118642
codesandbox,3,4074,7.213768308118642
api,602,4074,1.91212315147793
kuberneteslifecyclehttpget,1,4074,8.31238059678675
nil,8,4074,6.2329390551069155
partner,6,4074,6.520621127558696
counts.stat,1,4074,8.31238059678675
lint,35,4074,4.757032535297338
problemat,8,4074,6.2329390551069155
acquir,3,4074,7.213768308118642
percent,3,4074,7.213768308118642
zoneinfo.zip,4,4074,6.926086235666861
escalationruleinput,4,4074,6.926086235666861
cloudflar,3,4074,7.213768308118642
often,22,4074,5.221338143428436
link,158,4074,3.2497855637597843
packagist,3,4074,7.213768308118642
repositoryimportwork,3,4074,7.213768308118642
mutation.boardlistcr,6,4074,6.520621127558696
pipelineanalyt,6,4074,6.520621127558696
line,115,4074,3.567448468423501
13.4.0,3,4074,7.213768308118642
currentusertodo,6,4074,6.520621127558696
countdown,3,4074,7.213768308118642
perman,3,4074,7.213768308118642
explain,28,4074,4.980176086611547
disast,18,4074,5.422008838890586
counts.oper,1,4074,8.31238059678675
runners.cache.s3,2,4074,7.619233416226805
rescu,3,4074,7.213768308118642
enterpris,39,4074,4.6488189506571045
updat,360,4074,2.4262765653365954
on/off,3,4074,7.213768308118642
sastciconfigurationanalyzersentityinput,6,4074,6.520621127558696
clusteragenttoken,6,4074,6.520621127558696
introductori,6,4074,6.520621127558696
spec,19,4074,5.3679416176203105
circleci,3,4074,7.213768308118642
global.psql.password.secret,4,4074,6.926086235666861
ciminutesprojectmonthlyusag,4,4074,6.926086235666861
anonym,2,4074,7.619233416226805
function,54,4074,4.323396550222477
adjac,6,4074,6.520621127558696
oncallrotationactiveperiodinputtyp,6,4074,6.520621127558696
spdy,3,4074,7.213768308118642
/metric,2,4074,7.619233416226805
escap,11,4074,5.914485323988381
ngx,3,4074,7.213768308118642
spdx,6,4074,6.520621127558696
histori,535,4074,2.0301138498907445
pipelineartifactregistryconnect,6,4074,6.520621127558696
motiv,3,4074,7.213768308118642
extraenv,28,4074,4.980176086611547
escal,4,4074,6.926086235666861
ani,84,4074,3.8815637979434374
advisori,3,4074,7.213768308118642
encrypt,46,4074,4.483739200297656
pipelineedg,6,4074,6.520621127558696
milestonestat,6,4074,6.520621127558696
nifcloud,2,4074,7.619233416226805
media,5,4074,6.70294268435265
taxonomi,1,4074,8.31238059678675
french,3,4074,7.213768308118642
sentryerrorstacktracecontext,6,4074,6.520621127558696
databas,238,4074,2.840109923115276
mutation.mergerequestsetassigne,6,4074,6.520621127558696
mutation.createboard,6,4074,6.520621127558696
www.domain.com,3,4074,7.213768308118642
appear,20,4074,5.31664832323276
captcha,3,4074,7.213768308118642
fedora,2,4074,7.619233416226805
actions.j,3,4074,7.213768308118642
amp,28,4074,4.980176086611547
scheme,5,4074,6.70294268435265
mutation.updatesnippet,6,4074,6.520621127558696
ciconfiggroupconnect,6,4074,6.520621127558696
schema,40,4074,4.623501142672815
try,27,4074,5.016543730782422
mergerequest.pipelin,6,4074,6.520621127558696
cijob,6,4074,6.520621127558696
c/c,6,4074,6.520621127558696
minor,12,4074,5.827473946998751
query.timelog,4,4074,6.926086235666861
alertmanagementprometheusintegr,6,4074,6.520621127558696
awardemojiconnect,6,4074,6.520621127558696
oncallparticipanttypeedg,6,4074,6.520621127558696
valuabl,3,4074,7.213768308118642
mandril,2,4074,7.619233416226805
forward,14,4074,5.673323267171493
nomethoderror,2,4074,7.619233416226805
incidentmanagementoncallshiftconnect,6,4074,6.520621127558696
uploads/artifacts/lf,3,4074,7.213768308118642
mutation.mergerequestsetsubscript,6,4074,6.520621127558696
extra,16,4074,5.53979187454697
skeleton,3,4074,7.213768308118642
second,9,4074,6.115156019450532
ci/build,1,4074,8.31238059678675
like,46,4074,4.483739200297656
new,410,4074,2.296223437088398
scim,15,4074,5.604330395684541
unban,3,4074,7.213768308118642
oauth,16,4074,5.53979187454697
epicedg,6,4074,6.520621127558696
mutation.epicboardcr,6,4074,6.520621127558696
repository.tre,6,4074,6.520621127558696
checkbox.html.haml,3,4074,7.213768308118642
containerexpirationpolicykeepenum,6,4074,6.520621127558696
date,54,4074,4.323396550222477
manipul,6,4074,6.520621127558696
jaeger,15,4074,5.604330395684541
codecoverageact,6,4074,6.520621127558696
incidentmanagementoncallrotation.shift,6,4074,6.520621127558696
labkit,3,4074,7.213768308118642
data,189,4074,3.0706335817271087
legaci,37,4074,4.701462684142527
onelogin,12,4074,5.827473946998751
viewport,3,4074,7.213768308118642
bulkinsertsaf,3,4074,7.213768308118642
dast,33,4074,4.815873035320271
mutation.creatediffnot,6,4074,6.520621127558696
ident,23,4074,5.176886380857601
blog,2,4074,7.619233416226805
clusteragenttokenconnect,6,4074,6.520621127558696
designatvers,6,4074,6.520621127558696
blob,33,4074,4.815873035320271
span,3,4074,7.213768308118642
content,78,4074,3.9556717700971595
optimis,3,4074,7.213768308118642
spam,9,4074,6.115156019450532
axio,6,4074,6.520621127558696
decreas,2,4074,7.619233416226805
site,49,4074,4.420560298676125
simpli,5,4074,6.70294268435265
wildcard,18,4074,5.422008838890586
applicationwork,3,4074,7.213768308118642
extern,230,4074,2.8743012878635557
tunnel,2,4074,7.619233416226805
ciconfigstag,6,4074,6.520621127558696
cirunnerconnect,6,4074,6.520621127558696
packagesort,6,4074,6.520621127558696
dart,3,4074,7.213768308118642
milestoneid,6,4074,6.520621127558696
argument,29,4074,4.945084766800277
zimbra,1,4074,8.31238059678675
impact,14,4074,5.673323267171493
refer,177,4074,3.136230864212922
vogel,3,4074,7.213768308118642
standard,24,4074,5.1343267664388055
counts.web,1,4074,8.31238059678675
dark,6,4074,6.520621127558696
namespace.project,6,4074,6.520621127558696
mutation.terraformstateunlock,6,4074,6.520621127558696
rewrit,9,4074,6.115156019450532
recent,24,4074,5.1343267664388055
top,37,4074,4.701462684142527
similarli,6,4074,6.520621127558696
counts.design,1,4074,8.31238059678675
url/redirect,5,4074,6.70294268435265
project.packag,6,4074,6.520621127558696
debsig,3,4074,7.213768308118642
air,4,4074,6.926086235666861
banzai,6,4074,6.520621127558696
mockci,3,4074,7.213768308118642
aim,5,4074,6.70294268435265
singl,224,4074,2.9007345449317112
commitact,6,4074,6.520621127558696
sidebar,17,4074,5.4791672527305355
group.vulnerabilitiescountbydayandsever,2,4074,7.619233416226805
cherri,9,4074,6.115156019450532
uninstal,18,4074,5.422008838890586
mutation.clusteragenttokencr,6,4074,6.520621127558696
trigger,64,4074,4.153497513427079
gui,9,4074,6.115156019450532
diffimagepositioninput,6,4074,6.520621127558696
simplecov,3,4074,7.213768308118642
help,143,4074,3.349535966526844
packagedependencylinkconnect,4,4074,6.926086235666861
complain,2,4074,7.619233416226805
child,30,4074,4.911183215124596
easili,6,4074,6.520621127558696
kube,3,4074,7.213768308118642
helm,75,4074,3.9948924832504407
project.mileston,6,4074,6.520621127558696
lost,5,4074,6.70294268435265
similar,41,4074,4.598808530082443
crosslink,3,4074,7.213768308118642
loss,3,4074,7.213768308118642
epiclistconnect,6,4074,6.520621127558696
prometheusalert,6,4074,6.520621127558696
/var/log/gitlab/gitlab,1,4074,8.31238059678675
rule,97,4074,3.7376696182833684
.de,2,4074,7.619233416226805
nav,3,4074,7.213768308118642
spawn,2,4074,7.619233416226805
santilli,3,4074,7.213768308118642
settimeout,3,4074,7.213768308118642
across,13,4074,5.7474312393252145
determin,55,4074,4.3050474115542805
app.kubernetes.io/manag,3,4074,7.213768308118642
counts.auto,1,4074,8.31238059678675
datacollector,3,4074,7.213768308118642
.ci,3,4074,7.213768308118642
sparkpost,2,4074,7.619233416226805
globalid,6,4074,6.520621127558696
life,11,4074,5.914485323988381
ruby/haml,3,4074,7.213768308118642
ciapplicationset,6,4074,6.520621127558696
dedic,12,4074,5.827473946998751
modern,3,4074,7.213768308118642
locat,42,4074,4.574710978503383
minio,27,4074,5.016543730782422
extens,18,4074,5.422008838890586
minim,35,4074,4.757032535297338
bitbucket,12,4074,5.827473946998751
infomaniak,2,4074,7.619233416226805
local,107,4074,3.639551762324845
namespaceedg,6,4074,6.520621127558696
//namespace.example.io/project,5,4074,6.70294268435265
mutation.mergerequestsetwip,6,4074,6.520621127558696
mutation.addprojecttosecuritydashboard,6,4074,6.520621127558696
noteid,6,4074,6.520621127558696
epic.children,6,4074,6.520621127558696
extend,28,4074,4.980176086611547
reconnect,3,4074,7.213768308118642
paragraph,6,4074,6.520621127558696
clearcas,3,4074,7.213768308118642
length,20,4074,5.31664832323276
board.ep,6,4074,6.520621127558696
cumbersom,3,4074,7.213768308118642
testsuitesummaryconnect,6,4074,6.520621127558696
repeat,9,4074,6.115156019450532
pitfal,4,4074,6.926086235666861
strip,3,4074,7.213768308118642
approvalruletyp,6,4074,6.520621127558696
fundament,9,4074,6.115156019450532
12.x,3,4074,7.213768308118642
mutation.dastscannerprofilecr,6,4074,6.520621127558696
interpret,9,4074,6.115156019450532
cijobconnect,6,4074,6.520621127558696
/api/v4/jobs/request,2,4074,7.619233416226805
multimedia,3,4074,7.213768308118642
emploi,3,4074,7.213768308118642
receiv,40,4074,4.623501142672815
puma/unicorn,2,4074,7.619233416226805
compendium,3,4074,7.213768308118642
deactiv,12,4074,5.827473946998751
sinc,36,4074,4.728861658330641
absolut,6,4074,6.520621127558696
sina,2,4074,7.619233416226805
mergerequestdiff,3,4074,7.213768308118642
loop,11,4074,5.914485323988381
issuestateev,6,4074,6.520621127558696
5.0.0,1,4074,8.31238059678675
runners.cache.gc,2,4074,7.619233416226805
gpu,2,4074,7.619233416226805
snippetrepositoryregistri,6,4074,6.520621127558696
look,32,4074,4.846644693987025
nightli,5,4074,6.70294268435265
vulnerabilityissuelink,6,4074,6.520621127558696
scan,64,4074,4.153497513427079
endpoint,81,4074,3.9179314421143125
button,24,4074,5.1343267664388055
add,389,4074,2.348801253168305
gpg,11,4074,5.914485323988381
cijobedg,6,4074,6.520621127558696
tip,42,4074,4.574710978503383
forget,6,4074,6.520621127558696
bypass,24,4074,5.1343267664388055
securemail.pro,2,4074,7.619233416226805
datavisualizationcolorenum,6,4074,6.520621127558696
everi,62,4074,4.185246211741659
criteria,4,4074,6.926086235666861
know,21,4074,5.267858159063328
tie,6,4074,6.520621127558696
act,6,4074,6.520621127558696
ignor,23,4074,5.176886380857601
vulnerabilitylocationdast,6,4074,6.520621127558696
application/misus,3,4074,7.213768308118642
immediaci,2,4074,7.619233416226805
mutation.epicboardlistdestroi,6,4074,6.520621127558696
tooltip,2,4074,7.619233416226805
acl,3,4074,7.213768308118642
long,22,4074,5.221338143428436
effect,15,4074,5.604330395684541
csrf,8,4074,6.2329390551069155
mutation.mergerequestaccept,6,4074,6.520621127558696
mutation.designmanagementdelet,6,4074,6.520621127558696
thu,3,4074,7.213768308118642
imperson,18,4074,5.422008838890586
return,99,4074,3.717260746652161
router,6,4074,6.520621127558696
designcollect,6,4074,6.520621127558696
rbac,18,4074,5.422008838890586
query.filt,3,4074,7.213768308118642
thi,999,4074,1.4056258181381975
servicetyp,6,4074,6.520621127558696
ciminutesnamespacemonthlyusageedg,4,4074,6.926086235666861
execut,62,4074,4.185246211741659
counts.deploy,1,4074,8.31238059678675
anyth,4,4074,6.926086235666861
gnu,6,4074,6.520621127558696
caveat,30,4074,4.911183215124596
counts.confidenti,1,4074,8.31238059678675
cistageedg,6,4074,6.520621127558696
purpos,17,4074,5.4791672527305355
sensit,26,4074,5.054284058765269
namespaceingress,3,4074,7.213768308118642
fastmail,2,4074,7.619233416226805
abl,16,4074,5.53979187454697
counts.product,1,4074,8.31238059678675
iterationedg,6,4074,6.520621127558696
easier,11,4074,5.914485323988381
containerrepositoryid,6,4074,6.520621127558696
expans,6,4074,6.520621127558696
counts.deploi,1,4074,8.31238059678675
project.releas,6,4074,6.520621127558696
downstream,3,4074,7.213768308118642
agentconfigurationconnect,4,4074,6.926086235666861
ingress,38,4074,4.674794437060365
counts.servic,1,4074,8.31238059678675
dorametricbucketinginterv,4,4074,6.926086235666861
docker.machine.autosc,2,4074,7.619233416226805
expand,15,4074,5.604330395684541
vulnerabilityexternalissuelinkedg,6,4074,6.520621127558696
stdout,3,4074,7.213768308118642
gmx,2,4074,7.619233416226805
train,15,4074,5.604330395684541
counts.pod,1,4074,8.31238059678675
i/o,2,4074,7.619233416226805
larger,5,4074,6.70294268435265
gitlab.yml,11,4074,5.914485323988381
introspect,3,4074,7.213768308118642
marketplac,3,4074,7.213768308118642
mutation.httpintegrationcr,6,4074,6.520621127558696
kubernet,171,4074,3.1707170402840914
giant,3,4074,7.213768308118642
tunabl,1,4074,8.31238059678675
yandex,2,4074,7.619233416226805
packageedg,6,4074,6.520621127558696
amend,1,4074,8.31238059678675
label,71,4074,4.049700719745435
token,120,4074,3.5248888540047054
aliyun,2,4074,7.619233416226805
vulnerabilityexternalissuelinkexternaltrack,6,4074,6.520621127558696
discussionid,6,4074,6.520621127558696
airbnb,3,4074,7.213768308118642
global.registry.certificate.secret,4,4074,6.926086235666861
vulnerabilityst,6,4074,6.520621127558696
choos,60,4074,4.21803603456465
mutation.epicboardlistcr,6,4074,6.520621127558696
block,65,4074,4.137993326891114
event,102,4074,3.68740778350248
pathlock,6,4074,6.520621127558696
avail,238,4074,2.840109923115276
scannedresourceconnect,6,4074,6.520621127558696
viabl,3,4074,7.213768308118642
secur,246,4074,2.8070490608543883
ten,3,4074,7.213768308118642
docker,184,4074,3.0974448391777654
baselin,2,4074,7.619233416226805
danger,14,4074,5.673323267171493
embrac,3,4074,7.213768308118642
opinion,3,4074,7.213768308118642
usercalloutedg,6,4074,6.520621127558696
mergerequestconnect,6,4074,6.520621127558696
bottom,2,4074,7.619233416226805
kernel,7,4074,6.366470447731438
oncalluserinputtyp,6,4074,6.520621127558696
epicissue.currentusertodo,6,4074,6.520621127558696
tiller,1,4074,8.31238059678675
doesnt,6,4074,6.520621127558696
subgroup,16,4074,5.53979187454697
restor,63,4074,4.169245870395218
gke,11,4074,5.914485323988381
mutation.iterationcadenceupd,6,4074,6.520621127558696
dastsitetokenid,6,4074,6.520621127558696
advis,1,4074,8.31238059678675
shortcut,29,4074,4.945084766800277
cover,23,4074,5.176886380857601
rubi,87,4074,3.8464724781321675
project.timelog,4,4074,6.926086235666861
filenam,9,4074,6.115156019450532
alertmanag,8,4074,6.2329390551069155
project.incidentmanagementescalationpolici,4,4074,6.926086235666861
advic,3,4074,7.213768308118642
sign,91,4074,3.801521090269901
relev,30,4074,4.911183215124596
fiction,5,4074,6.70294268435265
pypi,14,4074,5.673323267171493
immut,3,4074,7.213768308118642
tcp,19,4074,5.3679416176203105
restart,33,4074,4.815873035320271
disabl,390,4074,2.346233857663059
enjoi,3,4074,7.213768308118642
fault,5,4074,6.70294268435265
streamlin,1,4074,8.31238059678675
counts.coverag,1,4074,8.31238059678675
requestcach,3,4074,7.213768308118642
mvc,6,4074,6.520621127558696
anyon,5,4074,6.70294268435265
upcom,10,4074,6.009795503792706
counts.grafana,1,4074,8.31238059678675
head,14,4074,5.673323267171493
prompt,10,4074,6.009795503792706
epicsort,6,4074,6.520621127558696
automat,112,4074,3.5938817254916566
devopsadoptionsegmentedg,2,4074,7.619233416226805
mutation.clusteragenttokendelet,6,4074,6.520621127558696
